/* Fichier de points VOLUMM-4D   2D
Listepoint   51
158   62  
188   92  
240   32  
248   64  
264   96  
320   44  
324   88  
328   132  
352   112  
360   128  
348   156  
300   152  
276   100  
308   68  
276   100  
244   128  
240   116  
232   92  
244   124  
220   128  
212   100  
208   116  
208   136  
188   156  
172   116  
144   160  
260   184  
256   196  
180   200  
176   204  
124   188  
112   156  
124   132  
116   128  
76   112  
52   128  
64   88  
104   52  
112   56  
116   48  
132   76  
128   112  
140   108  
144   76  
140   32  
124   16  
144   16  
188   20  
164   40  
152   56  
160   64  
FinListe   
